model,pathway,scenario,region,variables,unit,2020
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFI,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBY,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGI,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAL,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHU,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCH,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|TransformationHVMV,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|SolarPVRoofCommercial,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|Waste,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|TransformationMVLV,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|BatteryChemical,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|SolarPVRoofResidential,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Coal,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CombinedCycle,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|GasTurbine,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CogenerationGas,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Nuclear,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Oil,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Geothermal,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroRunofRiver,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroReservoir,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biomass,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biogas,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|WindOnshore,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|WindOffshore,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|SolarThermal,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|SolarPVOpen,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Hydrogen,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|BatteryHydro,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsES,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsBG,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsSE,share,
