model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|TransformationHVMV,share,0.9872911702521443,0.9315165877203146
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|SolarPVRoofCommercial,share,0.011142066356751489,0.06779664775205708
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|Waste,share,0.0015667633911041496,0.0006867645276281288
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|TransformationMVLV,share,0.957333314727126,0.78666657363563
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|BatteryChemical,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|SolarPVRoofResidential,share,0.04266668527287401,0.21333342636437005
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Coal,share,0.002467354260990804,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CombinedCycle,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|GasTurbine,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CogenerationGas,share,0.0015211358793487044,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Nuclear,share,0.3857828944585436,0.3728225048873068
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Oil,share,0.0006827145285265827,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Geothermal,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroRunofRiver,share,0.3212861184465215,0.3104925002775726
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroReservoir,share,0.08032312048622814,0.07762466249850422
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biomass,share,0.029278871315495322,0.02829524662942022
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biogas,share,0.0002934474727877417,0.00028358909487453244
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOnshore,share,0.11702831782712171,0.1512060571624142
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOffshore,share,0.004911812471925856,0.004746799963462085
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarThermal,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarPVOpen,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Hydrogen,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|BatteryHydro,share,0.00013516818004039553,0.000130627200395828
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLT,share,0.0017563174908830094,0.0016973139445371592
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPL,share,0.0011667409480070905,0.0011275442458409425
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNO,share,0.03214743675891868,0.031067442518383327
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDK,share,0.017408023187020595,0.016823200050977805
