model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGB,share,0.1196672189240482,0.0012873639306467
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsDK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsPT,share,0.0577374467413173,0.0010296205647419
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|TransformationHVMV,share,0.8,0.0743137094276679
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|SolarPVRoofCommercial,share,0.1,0.8256862905723321
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|Waste,share,0.1,0.1
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|TransformationMVLV,share,0.8315880136629701,0.882396494530692
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|BatteryChemical,share,0.0684119863370299,0.007824378569745
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|SolarPVRoofResidential,share,0.0999999999999999,0.109779126899563
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Coal,share,0.0273765654552225,0.0003057309463911
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CombinedCycle,share,0.126978302769553,0.0005859961416634
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|GasTurbine,share,0.1038741848232203,0.0020538735194571
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CogenerationGas,share,0.0505227547060825,0.0056117217347128
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Nuclear,share,0.1335643237863033,0.0012554080717563
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Oil,share,0.1030420147159283,0.0010652058651778
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Geothermal,share,0.0293134010237857,0.0413885898880539
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroRunofRiver,share,0.0034468201887275,0.073630721537496
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroReservoir,share,0.0144750627660024,0.0344895203165826
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biomass,share,0.0241495899337502,0.1348781780899527
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biogas,share,0.0895642047313328,0.1399049599058255
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOnshore,share,0.0309334619584543,0.0442220070146826
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOffshore,share,0.0299576597021593,0.2503523968031642
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarThermal,share,0.0367596957307709,0.0549881621498099
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarPVOpen,share,0.0162665062922557,0.1358256790446905
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Hydrogen,share,0.019563216271388,0.0033265897929495
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|BatteryHydro,share,0.0712134175480317,0.0703197852497417
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMK,share,0.0248851616666198,0.0011776698157831
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMD,share,0.0,0.0
